filename,projectname,country,version,date,formatted_date,crc,release,file_size,full_path
BK2007_DE_0.11.4.241126_E98C_beta_Encrypt.bin,BK2007,DE,0.11.4,241126,2026-11-24,E98C,beta,67744,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.4.241126_beta\DE\BK2007_DE_0.11.4.241126_E98C_beta_Encrypt.bin
BK2007_DE_0.11.4.241126_EFE1_beta_Open.bin,BK2007,DE,0.11.4,241126,2026-11-24,EFE1,beta,67724,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.4.241126_beta\DE\BK2007_DE_0.11.4.241126_EFE1_beta_Open.bin
BK2007_UK_0.11.4.241126_E9A5_beta_Encrypt.bin,BK2007,UK,0.11.4,241126,2026-11-24,E9A5,beta,67744,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.4.241126_beta\UK\BK2007_UK_0.11.4.241126_E9A5_beta_Encrypt.bin
BK2007_UK_0.11.4.241126_EFFA_beta_Open.bin,BK2007,UK,0.11.4,241126,2026-11-24,EFFA,beta,67724,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.4.241126_beta\UK\BK2007_UK_0.11.4.241126_EFFA_beta_Open.bin
BK2007_US_0.11.4.241126_E8E1_beta_Encrypt.bin,BK2007,US,0.11.4,241126,2026-11-24,E8E1,beta,67744,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.4.241126_beta\US\BK2007_US_0.11.4.241126_E8E1_beta_Encrypt.bin
BK2007_US_0.11.4.241126_EF36_beta_Open.bin,BK2007,US,0.11.4,241126,2026-11-24,EF36,beta,67724,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.4.241126_beta\US\BK2007_US_0.11.4.241126_EF36_beta_Open.bin
BK2007_DE_0.11.8.250409_B8A9_beta_Open.bin,BK2007,DE,0.11.8,250409,2009-04-25,B8A9,beta,69392,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.8.250409_beta\DE\BK2007_DE_0.11.8.250409_B8A9_beta_Open.bin
BK2007_UK_0.11.8.250409_B8C2_beta_Open.bin,BK2007,UK,0.11.8,250409,2009-04-25,B8C2,beta,69392,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.8.250409_beta\UK\BK2007_UK_0.11.8.250409_B8C2_beta_Open.bin
BK2007_US_0.11.8.250409_98C4_beta_Open.bin,BK2007,US,0.11.8,250409,2009-04-25,98C4,beta,69392,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.11.8.250409_beta\US\BK2007_US_0.11.8.250409_98C4_beta_Open.bin
BK2007_DE_0.12.1.250418_14A2_beta_Open.bin,BK2007,DE,0.12.1,250418,2018-04-25,14A2,beta,68816,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.12.1.250418_beta\DE\BK2007_DE_0.12.1.250418_14A2_beta_Open.bin
BK2007_UK_0.12.1.250418_14BB_beta_Open.bin,BK2007,UK,0.12.1,250418,2018-04-25,14BB,beta,68816,D:\Data\Document\ProductsLibrary\C线产品资料库\BK2007\beta\BK2007_0.12.1.250418_beta\UK\BK2007_UK_0.12.1.250418_14BB_beta_Open.bin
