scan_time分析报告 - KB04122-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1447
  有效scan_time数: 1447
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [106, 240, 374, 508, 642, 776, 910, 1044, 1178, 1312]...
  平均重置间隔: 120.6 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	19:47:33.304	4200		N/A
2	19:47:33.319	4350		150.0
3	19:47:33.334	4500		150.0
4	19:47:33.349	4650		150.0
5	19:47:33.364	4800		150.0
6	19:47:33.379	4950		150.0
7	19:47:33.394	5100		150.0
8	19:47:33.411	5250		150.0
9	19:47:33.424	5400		150.0
10	19:47:33.454	5550		150.0
11	19:47:33.471	5700		150.0
12	19:47:33.486	5850		150.0
13	19:47:33.501	6000		150.0
14	19:47:33.516	6150		150.0
15	19:47:33.531	6300		150.0
16	19:47:33.546	6450		150.0
17	19:47:33.561	6600		150.0
18	19:47:33.576	6750		150.0
19	19:47:33.589	6900		150.0
20	19:47:33.604	7050		150.0
21	19:47:33.619	7200		150.0
22	19:47:33.634	7350		150.0
23	19:47:33.649	7500		150.0
24	19:47:33.664	7650		150.0
25	19:47:33.679	7800		150.0
26	19:47:33.694	7950		150.0
27	19:47:33.709	8100		150.0
28	19:47:33.724	8250		150.0
29	19:47:33.739	8400		150.0
30	19:47:33.768	8550		150.0
31	19:47:33.798	8700		150.0
32	19:47:33.814	8850		150.0
33	19:47:33.829	9000		150.0
34	19:47:33.844	9150		150.0
35	19:47:33.859	9300		150.0
36	19:47:33.874	9450		150.0
37	19:47:33.889	9600		150.0
38	19:47:33.904	9750		150.0
39	19:47:33.919	9900		150.0
40	19:47:33.934	10050		150.0
41	19:47:33.963	10200		150.0
42	19:47:33.979	10350		150.0
43	19:47:33.994	10500		150.0
44	19:47:34.009	10650		150.0
45	19:47:34.024	10800		150.0
46	19:47:34.039	10950		150.0
47	19:47:34.054	11100		150.0
48	19:47:34.070	11250		150.0
49	19:47:34.084	11400		150.0
50	19:47:34.099	11550		150.0
51	19:47:34.114	11700		150.0
52	19:47:34.129	11850		150.0
53	19:47:34.158	12000		150.0
54	19:47:34.174	12150		150.0
55	19:47:34.189	12300		150.0
56	19:47:34.204	12450		150.0
57	19:47:34.221	12600		150.0
58	19:47:34.236	12750		150.0
59	19:47:34.266	12900		150.0
60	19:47:34.281	13050		150.0
61	19:47:34.309	13200		150.0
62	19:47:34.324	13350		150.0
63	19:47:34.339	13500		150.0
64	19:47:34.354	13650		150.0
65	19:47:34.370	13800		150.0
66	19:47:34.384	13950		150.0
67	19:47:34.413	14100		150.0
68	19:47:34.429	14250		150.0
69	19:47:34.444	14400		150.0
70	19:47:34.459	14550		150.0
71	19:47:34.474	14700		150.0
72	19:47:34.489	14850		150.0
73	19:47:34.504	15000		150.0
74	19:47:34.521	15150		150.0
75	19:47:34.536	15300		150.0
76	19:47:34.551	15450		150.0
77	19:47:34.566	15600		150.0
78	19:47:34.596	15750		150.0
79	19:47:34.611	15900		150.0
80	19:47:34.626	16050		150.0
81	19:47:34.641	16200		150.0
82	19:47:34.656	16350		150.0
83	19:47:34.671	16500		150.0
84	19:47:34.686	16650		150.0
85	19:47:34.701	16800		150.0
86	19:47:34.716	16950		150.0
87	19:47:34.731	17100		150.0
88	19:47:34.745	17250		150.0
89	19:47:34.773	17400		150.0
90	19:47:34.818	17550		150.0
91	19:47:34.834	17700		150.0
92	19:47:34.849	17850		150.0
93	19:47:34.849	18000		150.0
94	19:47:34.849	18150		150.0
95	19:47:34.864	18300		150.0
96	19:47:34.879	18450		150.0
97	19:47:34.894	18600		150.0
98	19:47:34.909	18750		150.0
99	19:47:34.924	18900		150.0
100	19:47:34.939	19050		150.0
101	19:47:34.954	19200		150.0
102	19:47:34.970	19350		150.0
103	19:47:34.998	19500		150.0
104	19:47:35.014	19650		150.0
105	19:47:35.029	19800		150.0
106	19:47:35.044	19950		150.0
107	19:47:35.059	0		150.0
108	19:47:35.074	150		150.0
109	19:47:35.089	300		150.0
110	19:47:35.104	450		150.0
111	19:47:35.133	600		150.0
112	19:47:35.149	750		150.0
113	19:47:35.164	900		150.0
114	19:47:35.179	1050		150.0
115	19:47:35.210	1200		150.0
116	19:47:35.224	1350		150.0
117	19:47:35.239	1500		150.0
118	19:47:35.254	1650		150.0
119	19:47:35.269	1800		150.0
120	19:47:35.285	1950		150.0
121	19:47:35.299	2100		150.0
122	19:47:35.314	2250		150.0
123	19:47:35.329	2400		150.0
124	19:47:35.344	2550		150.0
125	19:47:35.359	2700		150.0
126	19:47:35.388	2850		150.0
127	19:47:35.404	3000		150.0
128	19:47:35.419	3150		150.0
129	19:47:35.434	3300		150.0
130	19:47:35.449	3450		150.0
131	19:47:35.464	3600		150.0
132	19:47:35.479	3750		150.0
133	19:47:35.494	3900		150.0
134	19:47:35.523	4050		150.0
135	19:47:35.539	4200		150.0
136	19:47:35.554	4350		150.0
137	19:47:35.569	4500		150.0
138	19:47:35.584	4650		150.0
139	19:47:35.599	4800		150.0
140	19:47:35.643	4950		150.0
141	19:47:35.659	5100		150.0
142	19:47:35.674	5250		150.0
143	19:47:35.689	5400		150.0
144	19:47:35.689	5550		150.0
145	19:47:35.704	5700		150.0
146	19:47:35.719	5850		150.0
147	19:47:35.734	6000		150.0
148	19:47:35.749	6150		150.0
149	19:47:35.764	6300		150.0
150	19:47:35.779	6450		150.0
151	19:47:35.794	6600		150.0
152	19:47:35.809	6750		150.0
153	19:47:35.824	6900		150.0
154	19:47:35.853	7050		150.0
155	19:47:35.869	7200		150.0
156	19:47:35.884	7350		150.0
157	19:47:35.899	7500		150.0
158	19:47:35.928	7650		150.0
159	19:47:35.944	7800		150.0
160	19:47:35.959	7950		150.0
161	19:47:35.974	8100		150.0
162	19:47:35.989	8250		150.0
163	19:47:36.004	8400		150.0
164	19:47:36.019	8550		150.0
165	19:47:36.063	8700		150.0
166	19:47:36.081	8850		150.0
167	19:47:36.094	9000		150.0
168	19:47:36.109	9150		150.0
169	19:47:36.124	9300		150.0
170	19:47:36.139	9450		150.0
171	19:47:36.154	9600		150.0
172	19:47:36.169	9750		150.0
173	19:47:36.184	9900		150.0
174	19:47:36.199	10050		150.0
175	19:47:36.228	10200		150.0
176	19:47:36.258	10350		150.0
177	19:47:36.274	10500		150.0
178	19:47:36.290	10650		150.0
179	19:47:36.290	10800		150.0
180	19:47:36.290	10950		150.0
181	19:47:36.304	11100		150.0
182	19:47:36.333	11250		150.0
183	19:47:36.349	11400		150.0
184	19:47:36.364	11550		150.0
185	19:47:36.379	11700		150.0
186	19:47:36.394	11850		150.0
187	19:47:36.409	12000		150.0
188	19:47:36.424	12150		150.0
189	19:47:36.439	12300		150.0
190	19:47:36.468	12450		150.0
191	19:47:36.485	12600		150.0
192	19:47:36.499	12750		150.0
193	19:47:36.514	12900		150.0
194	19:47:36.529	13050		150.0
195	19:47:36.544	13200		150.0
196	19:47:36.559	13350		150.0
197	19:47:36.574	13500		150.0
198	19:47:36.589	13650		150.0
199	19:47:36.604	13800		150.0
200	19:47:36.648	13950		150.0
201	19:47:36.664	14100		150.0
202	19:47:36.679	14250		150.0
203	19:47:36.694	14400		150.0
204	19:47:36.709	14550		150.0
205	19:47:36.724	14700		150.0
206	19:47:36.739	14850		150.0
207	19:47:36.754	15000		150.0
208	19:47:36.769	15150		150.0
209	19:47:36.784	15300		150.0
210	19:47:36.799	15450		150.0
211	19:47:36.814	15600		150.0
212	19:47:36.829	15750		150.0
213	19:47:36.844	15900		150.0
