scan_time分析报告 - KB04122-主板固定60Hz发送5.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 149.25
  递增值标准差: 8.61
  最小递增值: 50
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 0.104 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	19:56:28.110	0		N/A
2	19:56:28.127	150		150.0
3	19:56:28.142	300		150.0
4	19:56:28.157	450		150.0
5	19:56:28.172	600		150.0
6	19:56:28.187	750		150.0
7	19:56:28.202	900		150.0
8	19:56:28.216	1050		150.0
9	19:56:28.231	1200		150.0
10	19:56:28.246	1350		150.0
11	19:56:28.275	1500		150.0
12	19:56:28.292	1650		150.0
13	19:56:28.308	1800		150.0
14	19:56:28.322	1950		150.0
15	19:56:28.337	2100		150.0
16	19:56:28.352	2250		150.0
17	19:56:28.366	2400		150.0
18	19:56:28.382	2550		150.0
19	19:56:28.397	2700		150.0
20	19:56:28.412	2850		150.0
21	19:56:28.442	3000		150.0
22	19:56:28.457	3150		150.0
23	19:56:28.471	3300		150.0
24	19:56:28.487	3450		150.0
25	19:56:28.502	3600		150.0
26	19:56:28.517	3750		150.0
27	19:56:28.532	3900		150.0
28	19:56:28.547	4050		150.0
29	19:56:28.562	4200		150.0
30	19:56:28.592	4350		150.0
31	19:56:28.608	4500		150.0
32	19:56:28.622	4650		150.0
33	19:56:28.637	4800		150.0
34	19:56:28.652	4950		150.0
35	19:56:28.667	5100		150.0
36	19:56:28.682	5250		150.0
37	19:56:28.697	5400		150.0
38	19:56:28.712	5550		150.0
39	19:56:28.742	5700		150.0
40	19:56:28.757	5850		150.0
41	19:56:28.772	6000		150.0
42	19:56:28.787	6150		150.0
43	19:56:28.815	6300		150.0
44	19:56:28.832	6450		150.0
45	19:56:28.847	6600		150.0
46	19:56:28.862	6750		150.0
47	19:56:28.877	6900		150.0
48	19:56:28.893	7050		150.0
49	19:56:28.907	7200		150.0
50	19:56:28.922	7350		150.0
51	19:56:28.937	7500		150.0
52	19:56:28.952	7650		150.0
53	19:56:28.981	7800		150.0
54	19:56:28.997	7950		150.0
55	19:56:29.012	8100		150.0
56	19:56:29.027	8250		150.0
57	19:56:29.042	8400		150.0
58	19:56:29.057	8550		150.0
59	19:56:29.072	8700		150.0
60	19:56:29.086	8850		150.0
61	19:56:29.102	9000		150.0
62	19:56:29.132	9150		150.0
63	19:56:29.147	9300		150.0
64	19:56:29.162	9450		150.0
65	19:56:29.178	9600		150.0
66	19:56:29.192	9750		150.0
67	19:56:29.207	9900		150.0
68	19:56:29.222	10050		150.0
69	19:56:29.237	10200		150.0
70	19:56:29.252	10350		150.0
71	19:56:29.282	10500		150.0
72	19:56:29.296	10650		150.0
73	19:56:29.312	10800		150.0
74	19:56:29.327	10950		150.0
75	19:56:29.342	11100		150.0
76	19:56:29.357	11250		150.0
77	19:56:29.372	11400		150.0
78	19:56:29.387	11550		150.0
79	19:56:29.402	11700		150.0
80	19:56:29.417	11850		150.0
81	19:56:29.447	12000		150.0
82	19:56:29.462	12150		150.0
83	19:56:29.478	12300		150.0
84	19:56:29.492	12450		150.0
85	19:56:29.508	12600		150.0
86	19:56:29.522	12750		150.0
87	19:56:29.537	12900		150.0
88	19:56:29.552	13050		150.0
89	19:56:29.567	13200		150.0
90	19:56:29.596	13350		150.0
91	19:56:29.612	13500		150.0
92	19:56:29.627	13650		150.0
