scan_time分析报告 - KB04122-主板固定80Hz发送.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	19:40:22.326	0		N/A
2	19:40:22.343	150		150.0
3	19:40:22.358	300		150.0
4	19:40:22.386	450		150.0
5	19:40:22.402	600		150.0
6	19:40:22.418	750		150.0
7	19:40:22.418	900		150.0
8	19:40:22.418	1050		150.0
9	19:40:22.432	1200		150.0
10	19:40:22.447	1350		150.0
11	19:40:22.462	1500		150.0
12	19:40:22.477	1650		150.0
13	19:40:22.492	1800		150.0
14	19:40:22.507	1950		150.0
15	19:40:22.523	2100		150.0
16	19:40:22.523	2250		150.0
17	19:40:22.523	2400		150.0
18	19:40:22.537	2550		150.0
19	19:40:22.552	2700		150.0
20	19:40:22.567	2850		150.0
21	19:40:22.582	3000		150.0
22	19:40:22.597	3150		150.0
23	19:40:22.612	3300		150.0
24	19:40:22.627	3450		150.0
25	19:40:22.643	3600		150.0
26	19:40:22.671	3750		150.0
27	19:40:22.688	3900		150.0
28	19:40:22.688	4050		150.0
29	19:40:22.688	4200		150.0
30	19:40:22.689	4350		150.0
31	19:40:22.704	4500		150.0
32	19:40:22.719	4650		150.0
33	19:40:22.734	4800		150.0
34	19:40:22.749	4950		150.0
35	19:40:22.779	5100		150.0
36	19:40:22.794	5250		150.0
37	19:40:22.809	5400		150.0
38	19:40:22.809	5550		150.0
39	19:40:22.809	5700		150.0
40	19:40:22.824	5850		150.0
41	19:40:22.838	6000		150.0
42	19:40:22.854	6150		150.0
43	19:40:22.869	6300		150.0
44	19:40:22.884	6450		150.0
45	19:40:22.899	6600		150.0
46	19:40:22.914	6750		150.0
47	19:40:22.929	6900		150.0
48	19:40:22.929	7050		150.0
49	19:40:22.929	7200		150.0
50	19:40:22.943	7350		150.0
51	19:40:22.959	7500		150.0
52	19:40:22.974	7650		150.0
53	19:40:23.004	7800		150.0
54	19:40:23.019	7950		150.0
55	19:40:23.034	8100		150.0
56	19:40:23.034	8250		150.0
57	19:40:23.034	8400		150.0
58	19:40:23.048	8550		150.0
59	19:40:23.064	8700		150.0
60	19:40:23.079	8850		150.0
61	19:40:23.094	9000		150.0
62	19:40:23.109	9150		150.0
63	19:40:23.124	9300		150.0
64	19:40:23.139	9450		150.0
65	19:40:23.154	9600		150.0
66	19:40:23.169	9750		150.0
67	19:40:23.184	9900		150.0
68	19:40:23.184	10050		150.0
69	19:40:23.184	10200		150.0
70	19:40:23.199	10350		150.0
71	19:40:23.214	10500		150.0
72	19:40:23.229	10650		150.0
73	19:40:23.245	10800		150.0
74	19:40:23.259	10950		150.0
75	19:40:23.274	11100		150.0
76	19:40:23.289	11250		150.0
77	19:40:23.304	11400		150.0
78	19:40:23.319	11550		150.0
79	19:40:23.334	11700		150.0
80	19:40:23.334	11850		150.0
81	19:40:23.334	12000		150.0
82	19:40:23.349	12150		150.0
83	19:40:23.364	12300		150.0
84	19:40:23.379	12450		150.0
85	19:40:23.409	12600		150.0
86	19:40:23.424	12750		150.0
87	19:40:23.439	12900		150.0
88	19:40:23.439	13050		150.0
89	19:40:23.439	13200		150.0
90	19:40:23.453	13350		150.0
91	19:40:23.469	13500		150.0
92	19:40:23.484	13650		150.0
93	19:40:23.514	13800		150.0
94	19:40:23.529	13950		150.0
95	19:40:23.544	14100		150.0
96	19:40:23.544	14250		150.0
97	19:40:23.547	14400		150.0
98	19:40:23.547	14550		150.0
99	19:40:23.558	14700		150.0
100	19:40:23.574	14850		150.0
101	19:40:23.589	15000		150.0
102	19:40:23.604	15150		150.0
103	19:40:23.619	15300		150.0
104	19:40:23.634	15450		150.0
105	19:40:23.649	15600		150.0
106	19:40:23.664	15750		150.0
107	19:40:23.679	15900		150.0
108	19:40:23.694	16050		150.0
109	19:40:23.709	16200		150.0
110	19:40:23.709	16350		150.0
111	19:40:23.724	16500		150.0
112	19:40:23.739	16650		150.0
113	19:40:23.754	16800		150.0
114	19:40:23.769	16950		150.0
115	19:40:23.784	17100		150.0
116	19:40:23.784	17250		150.0
117	19:40:23.784	17400		150.0
118	19:40:23.799	17550		150.0
119	19:40:23.829	17700		150.0
120	19:40:23.844	17850		150.0
121	19:40:23.859	18000		150.0
122	19:40:23.859	18150		150.0
123	19:40:23.859	18300		150.0
124	19:40:23.874	18450		150.0
125	19:40:23.889	18600		150.0
126	19:40:23.904	18750		150.0
127	19:40:23.919	18900		150.0
128	19:40:23.934	19050		150.0
129	19:40:23.949	19200		150.0
130	19:40:23.964	19350		150.0
131	19:40:23.979	19500		150.0
132	19:40:23.994	19650		150.0
133	19:40:24.023	19800		150.0
134	19:40:24.023	19950		150.0
135	19:40:24.025	0		150.0
136	19:40:24.025	150		150.0
137	19:40:24.039	300		150.0
138	19:40:24.054	450		150.0
139	19:40:24.068	600		150.0
140	19:40:24.082	750		150.0
141	19:40:24.097	900		150.0
142	19:40:24.126	1050		150.0
143	19:40:24.143	1200		150.0
144	19:40:24.158	1350		150.0
145	19:40:24.158	1500		150.0
146	19:40:24.159	1650		150.0
147	19:40:24.159	1800		150.0
148	19:40:24.173	1950		150.0
149	19:40:24.187	2100		150.0
150	19:40:24.202	2250		150.0
151	19:40:24.217	2400		150.0
152	19:40:24.232	2550		150.0
153	19:40:24.247	2700		150.0
154	19:40:24.262	2850		150.0
155	19:40:24.277	3000		150.0
156	19:40:24.294	3150		150.0
157	19:40:24.309	3300		150.0
158	19:40:24.324	3450		150.0
159	19:40:24.339	3600		150.0
160	19:40:24.339	3750		150.0
161	19:40:24.339	3900		150.0
162	19:40:24.354	4050		150.0
163	19:40:24.369	4200		150.0
164	19:40:24.384	4350		150.0
165	19:40:24.414	4500		150.0
166	19:40:24.429	4650		150.0
167	19:40:24.444	4800		150.0
168	19:40:24.444	4950		150.0
169	19:40:24.444	5100		150.0
170	19:40:24.459	5250		150.0
171	19:40:24.474	5400		150.0
172	19:40:24.489	5550		150.0
173	19:40:24.504	5700		150.0
174	19:40:24.519	5850		150.0
175	19:40:24.534	6000		150.0
176	19:40:24.549	6150		150.0
177	19:40:24.549	6300		150.0
178	19:40:24.549	6450		150.0
179	19:40:24.564	6600		150.0
180	19:40:24.578	6750		150.0
181	19:40:24.593	6900		150.0
182	19:40:24.609	7050		150.0
183	19:40:24.639	7200		150.0
184	19:40:24.654	7350		150.0
185	19:40:24.669	7500		150.0
186	19:40:24.669	7650		150.0
187	19:40:24.669	7800		150.0
188	19:40:24.682	7950		150.0
189	19:40:24.699	8100		150.0
190	19:40:24.714	8250		150.0
191	19:40:24.729	8400		150.0
192	19:40:24.744	8550		150.0
193	19:40:24.759	8700		150.0
194	19:40:24.773	8850		150.0
195	19:40:24.773	9000		150.0
196	19:40:24.773	9150		150.0
197	19:40:24.787	9300		150.0
198	19:40:24.816	9450		150.0
199	19:40:24.832	9600		150.0
200	19:40:24.848	9750		150.0
201	19:40:24.848	9900		150.0
202	19:40:24.848	10050		150.0
203	19:40:24.862	10200		150.0
204	19:40:24.877	10350		150.0
205	19:40:24.892	10500		150.0
206	19:40:24.907	10650		150.0
207	19:40:24.922	10800		150.0
208	19:40:24.937	10950		150.0
209	19:40:24.952	11100		150.0
210	19:40:24.967	11250		150.0
211	19:40:24.982	11400		150.0
212	19:40:24.998	11550		150.0
213	19:40:24.998	11700		150.0
214	19:40:24.998	11850		150.0
215	19:40:25.012	12000		150.0
216	19:40:25.027	12150		150.0
217	19:40:25.057	12300		150.0
218	19:40:25.072	12450		150.0
219	19:40:25.088	12600		150.0
220	19:40:25.088	12750		150.0
221	19:40:25.088	12900		150.0
222	19:40:25.102	13050		150.0
223	19:40:25.117	13200		150.0
224	19:40:25.132	13350		150.0
225	19:40:25.147	13500		150.0
226	19:40:25.162	13650		150.0
227	19:40:25.179	13800		150.0
228	19:40:25.193	13950		150.0
229	19:40:25.209	14100		150.0
230	19:40:25.224	14250		150.0
231	19:40:25.224	14400		150.0
232	19:40:25.224	14550		150.0
233	19:40:25.239	14700		150.0
234	19:40:25.254	14850		150.0
235	19:40:25.269	15000		150.0
236	19:40:25.284	15150		150.0
237	19:40:25.297	15300		150.0
238	19:40:25.314	15450		150.0
239	19:40:25.329	15600		150.0
240	19:40:25.344	15750		150.0
241	19:40:25.359	15900		150.0
242	19:40:25.374	16050		150.0
243	19:40:25.374	16200		150.0
244	19:40:25.374	16350		150.0
245	19:40:25.389	16500		150.0
246	19:40:25.403	16650		150.0
247	19:40:25.419	16800		150.0
248	19:40:25.434	16950		150.0
249	19:40:25.449	17100		150.0
250	19:40:25.464	17250		150.0
251	19:40:25.479	17400		150.0
252	19:40:25.494	17550		150.0
253	19:40:25.524	17700		150.0
254	19:40:25.524	17850		150.0
255	19:40:25.539	18000		150.0
256	19:40:25.539	18150		150.0
257	19:40:25.554	18300		150.0
258	19:40:25.569	18450		150.0
259	19:40:25.584	18600		150.0
260	19:40:25.584	18750		150.0
261	19:40:25.584	18900		150.0
262	19:40:25.599	19050		150.0
263	19:40:25.614	19200		150.0
264	19:40:25.644	19350		150.0
265	19:40:25.659	19500		150.0
266	19:40:25.674	19650		150.0
267	19:40:25.674	19800		150.0
268	19:40:25.674	19950		150.0
269	19:40:25.689	0		150.0
270	19:40:25.704	150		150.0
271	19:40:25.719	300		150.0
272	19:40:25.734	450		150.0
273	19:40:25.763	600		150.0
274	19:40:25.779	750		150.0
275	19:40:25.793	900		150.0
276	19:40:25.793	1050		150.0
277	19:40:25.796	1200		150.0
278	19:40:25.796	1350		150.0
279	19:40:25.808	1500		150.0
280	19:40:25.824	1650		150.0
281	19:40:25.839	1800		150.0
282	19:40:25.869	1950		150.0
283	19:40:25.884	2100		150.0
284	19:40:25.899	2250		150.0
285	19:40:25.899	2400		150.0
286	19:40:25.899	2550		150.0
287	19:40:25.912	2700		150.0
288	19:40:25.929	2850		150.0
289	19:40:25.944	3000		150.0
290	19:40:25.960	3150		150.0
291	19:40:25.973	3300		150.0
292	19:40:25.989	3450		150.0
293	19:40:26.004	3600		150.0
294	19:40:26.017	3750		150.0
295	19:40:26.034	3900		150.0
296	19:40:26.034	4050		150.0
297	19:40:26.034	4200		150.0
298	19:40:26.049	4350		150.0
299	19:40:26.064	4500		150.0
300	19:40:26.079	4650		150.0
301	19:40:26.092	4800		150.0
302	19:40:26.107	4950		150.0
303	19:40:26.122	5100		150.0
304	19:40:26.137	5250		150.0
305	19:40:26.152	5400		150.0
306	19:40:26.168	5550		150.0
307	19:40:26.168	5700		150.0
308	19:40:26.168	5850		150.0
309	19:40:26.182	6000		150.0
310	19:40:26.197	6150		150.0
311	19:40:26.212	6300		150.0
312	19:40:26.227	6450		150.0
313	19:40:26.257	6600		150.0
314	19:40:26.287	6750		150.0
315	19:40:26.303	6900		150.0
316	19:40:26.303	7050		150.0
317	19:40:26.303	7200		150.0
318	19:40:26.304	7350		150.0
319	19:40:26.319	7500		150.0
320	19:40:26.334	7650		150.0
321	19:40:26.349	7800		150.0
322	19:40:26.364	7950		150.0
323	19:40:26.379	8100		150.0
324	19:40:26.393	8250		150.0
325	19:40:26.393	8400		150.0
326	19:40:26.393	8550		150.0
327	19:40:26.409	8700		150.0
328	19:40:26.423	8850		150.0
329	19:40:26.439	9000		150.0
330	19:40:26.454	9150		150.0
331	19:40:26.482	9300		150.0
332	19:40:26.499	9450		150.0
333	19:40:26.514	9600		150.0
334	19:40:26.514	9750		150.0
335	19:40:26.514	9900		150.0
336	19:40:26.527	10050		150.0
337	19:40:26.544	10200		150.0
338	19:40:26.559	10350		150.0
339	19:40:26.574	10500		150.0
340	19:40:26.589	10650		150.0
341	19:40:26.604	10800		150.0
342	19:40:26.618	10950		150.0
343	19:40:26.618	11100		150.0
344	19:40:26.618	11250		150.0
345	19:40:26.634	11400		150.0
346	19:40:26.649	11550		150.0
347	19:40:26.664	11700		150.0
348	19:40:26.679	11850		150.0
349	19:40:26.694	12000		150.0
350	19:40:26.709	12150		150.0
351	19:40:26.724	12300		150.0
352	19:40:26.739	12450		150.0
353	19:40:26.754	12600		150.0
354	19:40:26.768	12750		150.0
355	19:40:26.768	12900		150.0
356	19:40:26.768	13050		150.0
357	19:40:26.784	13200		150.0
358	19:40:26.799	13350		150.0
359	19:40:26.814	13500		150.0
360	19:40:26.829	13650		150.0
361	19:40:26.845	13800		150.0
362	19:40:26.859	13950		150.0
363	19:40:26.889	14100		150.0
364	19:40:26.904	14250		150.0
365	19:40:26.918	14400		150.0
366	19:40:26.918	14550		150.0
367	19:40:26.921	14700		150.0
368	19:40:26.921	14850		150.0
369	19:40:26.933	15000		150.0
370	19:40:26.947	15150		150.0
371	19:40:26.963	15300		150.0
372	19:40:26.979	15450		150.0
373	19:40:26.994	15600		150.0
374	19:40:27.009	15750		150.0
375	19:40:27.024	15900		150.0
376	19:40:27.037	16050		150.0
377	19:40:27.054	16200		150.0
378	19:40:27.069	16350		150.0
379	19:40:27.099	16500		150.0
380	19:40:27.113	16650		150.0
381	19:40:27.113	16800		150.0
382	19:40:27.113	16950		150.0
383	19:40:27.115	17100		150.0
384	19:40:27.129	17250		150.0
385	19:40:27.143	17400		150.0
386	19:40:27.160	17550		150.0
387	19:40:27.172	17700		150.0
388	19:40:27.189	17850		150.0
389	19:40:27.204	18000		150.0
390	19:40:27.219	18150		150.0
391	19:40:27.234	18300		150.0
392	19:40:27.248	18450		150.0
393	19:40:27.248	18600		150.0
394	19:40:27.248	18750		150.0
395	19:40:27.264	18900		150.0
396	19:40:27.279	19050		150.0
397	19:40:27.309	19200		150.0
398	19:40:27.324	19350		150.0
