文件名,总包数,持续时间(秒),平均帧率(FPS),平均间隔(ms),最小间隔(ms),最小间隔次数,最大间隔(ms),最大间隔次数,标准差(ms),期望包数,丢包率(%),有效scan_time数量,平均递增值,重置次数,最大scan_time,最小scan_time,scan_time一致性,平均理论延迟(ms),最小理论延迟(ms),最大理论延迟(ms),理论延迟标准差(ms)
baseus-主板固定60Hz发送1.txt,1475,24.68,59.77,16.74,0.00,11,46.00,1,5.36,1475,0.00,1475,149.25,11,19950,0,0.10,78.18,0.00,148.67,32.12
baseus-主板固定60Hz发送2.txt,1475,24.71,59.70,16.76,13.00,6,45.00,1,4.65,1475,0.00,1475,149.25,11,19950,0,0.10,92.64,0.00,167.33,45.26
baseus-主板固定60Hz发送3.txt,1504,29.13,51.63,19.38,12.00,1,4020.00,1,103.33,1475,-1.97,1504,159.68,12,19950,0,0.00,4025.48,0.00,4099.67,106.59
baseus-主板固定60Hz发送4.txt,1475,24.63,59.88,16.71,12.00,2,44.00,1,4.60,1475,0.00,1475,149.25,11,19950,0,0.10,47.75,0.00,118.67,30.91
baseus-主板固定60Hz发送5.txt,1475,24.68,59.77,16.74,13.00,19,31.00,19,4.77,1475,0.00,1475,149.25,11,19950,0,0.10,56.50,0.00,137.33,39.34
beisi_check_66Hz.txt,1475,22.11,66.71,15.00,0.00,3,31.00,2,2.74,1475,0.00,1475,149.25,11,19950,0,0.10,1237.90,0.00,2457.67,706.91
KB04122-主板固定60Hz发送1.txt,1447,24.24,59.69,16.76,0.00,40,59.00,1,6.41,1475,1.90,1447,149.24,11,19950,0,0.10,102.78,0.00,194.00,49.01
KB04122-主板固定60Hz发送2.txt,1432,23.96,59.78,16.74,0.00,74,60.00,2,7.85,1475,2.92,1432,149.23,11,19950,0,0.10,85.72,0.00,162.33,32.90
KB04122-主板固定60Hz发送4.txt,1475,24.63,59.88,16.71,0.00,7,45.00,1,5.09,1475,0.00,1475,149.25,11,19950,0,0.10,57.62,0.00,101.67,17.15
KB04122-主板固定60Hz发送5.txt,1475,24.60,59.95,16.69,0.00,2,44.00,2,4.86,1475,0.00,1475,149.25,11,19950,0,0.10,36.46,0.00,81.00,18.65
KB04122-主板固定80Hz发送.txt,1475,18.51,79.67,12.56,0.00,309,74.00,1,8.21,1475,0.00,1475,149.25,11,19950,0,0.10,3036.46,0.00,6063.67,1746.20
