scan_time分析报告 - baseus-主板固定60Hz发送1.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	20:09:55.905	0		N/A
2	20:09:55.934	150		150.0
3	20:09:55.963	300		150.0
4	20:09:55.981	450		150.0
5	20:09:55.995	600		150.0
6	20:09:56.011	750		150.0
7	20:09:56.026	900		150.0
8	20:09:56.041	1050		150.0
9	20:09:56.056	1200		150.0
10	20:09:56.071	1350		150.0
11	20:09:56.086	1500		150.0
12	20:09:56.100	1650		150.0
13	20:09:56.116	1800		150.0
14	20:09:56.131	1950		150.0
15	20:09:56.146	2100		150.0
16	20:09:56.161	2250		150.0
17	20:09:56.176	2400		150.0
18	20:09:56.191	2550		150.0
19	20:09:56.204	2700		150.0
20	20:09:56.221	2850		150.0
21	20:09:56.251	3000		150.0
22	20:09:56.266	3150		150.0
23	20:09:56.281	3300		150.0
24	20:09:56.296	3450		150.0
25	20:09:56.311	3600		150.0
26	20:09:56.341	3750		150.0
27	20:09:56.356	3900		150.0
28	20:09:56.371	4050		150.0
29	20:09:56.386	4200		150.0
30	20:09:56.400	4350		150.0
31	20:09:56.416	4500		150.0
32	20:09:56.430	4650		150.0
33	20:09:56.446	4800		150.0
34	20:09:56.474	4950		150.0
35	20:09:56.491	5100		150.0
36	20:09:56.504	5250		150.0
37	20:09:56.521	5400		150.0
38	20:09:56.536	5550		150.0
39	20:09:56.551	5700		150.0
40	20:09:56.566	5850		150.0
41	20:09:56.581	6000		150.0
42	20:09:56.596	6150		150.0
43	20:09:56.610	6300		150.0
44	20:09:56.638	6450		150.0
45	20:09:56.656	6600		150.0
46	20:09:56.671	6750		150.0
47	20:09:56.686	6900		150.0
48	20:09:56.701	7050		150.0
49	20:09:56.716	7200		150.0
50	20:09:56.731	7350		150.0
51	20:09:56.746	7500		150.0
52	20:09:56.761	7650		150.0
53	20:09:56.791	7800		150.0
54	20:09:56.806	7950		150.0
55	20:09:56.821	8100		150.0
56	20:09:56.836	8250		150.0
57	20:09:56.851	8400		150.0
58	20:09:56.866	8550		150.0
59	20:09:56.881	8700		150.0
60	20:09:56.896	8850		150.0
61	20:09:56.911	9000		150.0
62	20:09:56.941	9150		150.0
63	20:09:56.956	9300		150.0
64	20:09:56.971	9450		150.0
65	20:09:56.986	9600		150.0
66	20:09:57.001	9750		150.0
67	20:09:57.014	9900		150.0
68	20:09:57.031	10050		150.0
69	20:09:57.046	10200		150.0
70	20:09:57.061	10350		150.0
71	20:09:57.076	10500		150.0
72	20:09:57.105	10650		150.0
73	20:09:57.119	10800		150.0
74	20:09:57.136	10950		150.0
75	20:09:57.151	11100		150.0
76	20:09:57.166	11250		150.0
77	20:09:57.196	11400		150.0
78	20:09:57.211	11550		150.0
79	20:09:57.224	11700		150.0
80	20:09:57.241	11850		150.0
81	20:09:57.256	12000		150.0
82	20:09:57.271	12150		150.0
83	20:09:57.286	12300		150.0
84	20:09:57.301	12450		150.0
85	20:09:57.330	12600		150.0
86	20:09:57.346	12750		150.0
87	20:09:57.361	12900		150.0
88	20:09:57.376	13050		150.0
89	20:09:57.391	13200		150.0
90	20:09:57.406	13350		150.0
91	20:09:57.421	13500		150.0
92	20:09:57.436	13650		150.0
93	20:09:57.451	13800		150.0
94	20:09:57.466	13950		150.0
95	20:09:57.496	14100		150.0
96	20:09:57.511	14250		150.0
97	20:09:57.526	14400		150.0
98	20:09:57.541	14550		150.0
99	20:09:57.556	14700		150.0
100	20:09:57.586	14850		150.0
101	20:09:57.601	15000		150.0
102	20:09:57.616	15150		150.0
103	20:09:57.630	15300		150.0
104	20:09:57.646	15450		150.0
105	20:09:57.661	15600		150.0
106	20:09:57.676	15750		150.0
107	20:09:57.691	15900		150.0
108	20:09:57.721	16050		150.0
109	20:09:57.734	16200		150.0
110	20:09:57.751	16350		150.0
111	20:09:57.766	16500		150.0
112	20:09:57.781	16650		150.0
113	20:09:57.796	16800		150.0
114	20:09:57.811	16950		150.0
115	20:09:57.826	17100		150.0
116	20:09:57.841	17250		150.0
117	20:09:57.856	17400		150.0
118	20:09:57.886	17550		150.0
119	20:09:57.901	17700		150.0
120	20:09:57.916	17850		150.0
121	20:09:57.931	18000		150.0
122	20:09:57.946	18150		150.0
123	20:09:57.976	18300		150.0
124	20:09:57.991	18450		150.0
125	20:09:58.006	18600		150.0
126	20:09:58.021	18750		150.0
127	20:09:58.036	18900		150.0
128	20:09:58.051	19050		150.0
129	20:09:58.066	19200		150.0
130	20:09:58.081	19350		150.0
131	20:09:58.111	19500		150.0
132	20:09:58.126	19650		150.0
133	20:09:58.141	19800		150.0
134	20:09:58.156	19950		150.0
135	20:09:58.171	0		150.0
136	20:09:58.186	150		150.0
137	20:09:58.201	300		150.0
138	20:09:58.216	450		150.0
139	20:09:58.231	600		150.0
140	20:09:58.244	750		150.0
141	20:09:58.273	900		150.0
142	20:09:58.291	1050		150.0
143	20:09:58.321	1200		150.0
144	20:09:58.336	1350		150.0
145	20:09:58.349	1500		150.0
146	20:09:58.365	1650		150.0
147	20:09:58.380	1800		150.0
148	20:09:58.396	1950		150.0
149	20:09:58.411	2100		150.0
150	20:09:58.426	2250		150.0
151	20:09:58.441	2400		150.0
152	20:09:58.456	2550		150.0
153	20:09:58.471	2700		150.0
154	20:09:58.486	2850		150.0
155	20:09:58.516	3000		150.0
156	20:09:58.531	3150		150.0
157	20:09:58.546	3300		150.0
158	20:09:58.561	3450		150.0
159	20:09:58.576	3600		150.0
160	20:09:58.591	3750		150.0
161	20:09:58.606	3900		150.0
162	20:09:58.621	4050		150.0
163	20:09:58.636	4200		150.0
164	20:09:58.651	4350		150.0
165	20:09:58.666	4500		150.0
166	20:09:58.679	4650		150.0
167	20:09:58.696	4800		150.0
168	20:09:58.711	4950		150.0
169	20:09:58.741	5100		150.0
170	20:09:58.755	5250		150.0
171	20:09:58.771	5400		150.0
172	20:09:58.786	5550		150.0
173	20:09:58.801	5700		150.0
174	20:09:58.816	5850		150.0
175	20:09:58.831	6000		150.0
176	20:09:58.846	6150		150.0
177	20:09:58.859	6300		150.0
178	20:09:58.888	6450		150.0
179	20:09:58.906	6600		150.0
