scan_time分析报告 - baseus-主板固定60Hz发送3.txt
==================================================

基本统计信息:
  总数据包数: 1504
  有效scan_time数: 1504
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 159.68
  递增值标准差: 407.54
  最小递增值: 0
  最大递增值: 15950

重置分析:
  检测到重置次数: 12
  重置点位置: [29, 163, 297, 431, 565, 699, 833, 967, 1101, 1235]...
  平均重置间隔: 115.7 包/次

一致性评估:
  一致性评分: 0.002 (1.0为完美一致)
  评估结果: 较差 - scan_time递增不稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	20:14:14.726	0		N/A
2	20:14:18.746	0		0.0
3	20:14:18.762	150		150.0
4	20:14:18.791	300		150.0
5	20:14:18.807	450		150.0
6	20:14:18.822	600		150.0
7	20:14:18.837	750		150.0
8	20:14:18.852	900		150.0
9	20:14:18.868	1050		150.0
10	20:14:18.884	1200		150.0
11	20:14:18.899	1350		150.0
12	20:14:18.927	1500		150.0
13	20:14:18.944	1650		150.0
14	20:14:18.957	1800		150.0
15	20:14:18.972	1950		150.0
16	20:14:18.987	2100		150.0
17	20:14:19.002	2250		150.0
18	20:14:19.017	2400		150.0
19	20:14:19.033	2550		150.0
20	20:14:19.047	2700		150.0
21	20:14:19.062	2850		150.0
22	20:14:19.077	3000		150.0
23	20:14:19.106	3150		150.0
24	20:14:19.122	3300		150.0
25	20:14:19.137	3450		150.0
26	20:14:19.152	3600		150.0
27	20:14:19.167	3750		150.0
28	20:14:19.182	3900		150.0
29	20:14:19.197	4050		150.0
30	20:14:19.212	0		15950.0
31	20:14:19.227	150		150.0
32	20:14:19.256	300		150.0
33	20:14:19.272	450		150.0
34	20:14:19.287	600		150.0
35	20:14:19.302	750		150.0
36	20:14:19.319	900		150.0
37	20:14:19.332	1050		150.0
38	20:14:19.350	1200		150.0
39	20:14:19.363	1350		150.0
40	20:14:19.379	1500		150.0
41	20:14:19.394	1650		150.0
42	20:14:19.424	1800		150.0
43	20:14:19.439	1950		150.0
44	20:14:19.454	2100		150.0
45	20:14:19.467	2250		150.0
46	20:14:19.484	2400		150.0
47	20:14:19.499	2550		150.0
48	20:14:19.514	2700		150.0
49	20:14:19.529	2850		150.0
50	20:14:19.544	3000		150.0
51	20:14:19.574	3150		150.0
52	20:14:19.589	3300		150.0
53	20:14:19.604	3450		150.0
54	20:14:19.619	3600		150.0
55	20:14:19.634	3750		150.0
56	20:14:19.649	3900		150.0
57	20:14:19.664	4050		150.0
58	20:14:19.679	4200		150.0
59	20:14:19.694	4350		150.0
60	20:14:19.724	4500		150.0
61	20:14:19.739	4650		150.0
62	20:14:19.754	4800		150.0
63	20:14:19.769	4950		150.0
64	20:14:19.784	5100		150.0
65	20:14:19.799	5250		150.0
66	20:14:19.814	5400		150.0
67	20:14:19.829	5550		150.0
68	20:14:19.844	5700		150.0
69	20:14:19.859	5850		150.0
70	20:14:19.889	6000		150.0
71	20:14:19.904	6150		150.0
72	20:14:19.919	6300		150.0
73	20:14:19.949	6450		150.0
74	20:14:19.964	6600		150.0
75	20:14:19.978	6750		150.0
76	20:14:19.994	6900		150.0
77	20:14:20.009	7050		150.0
78	20:14:20.024	7200		150.0
79	20:14:20.039	7350		150.0
80	20:14:20.054	7500		150.0
81	20:14:20.069	7650		150.0
82	20:14:20.082	7800		150.0
83	20:14:20.099	7950		150.0
84	20:14:20.114	8100		150.0
85	20:14:20.129	8250		150.0
86	20:14:20.144	8400		150.0
87	20:14:20.159	8550		150.0
88	20:14:20.189	8700		150.0
89	20:14:20.204	8850		150.0
90	20:14:20.219	9000		150.0
91	20:14:20.234	9150		150.0
92	20:14:20.250	9300		150.0
93	20:14:20.264	9450		150.0
94	20:14:20.279	9600		150.0
95	20:14:20.294	9750		150.0
96	20:14:20.309	9900		150.0
97	20:14:20.324	10050		150.0
98	20:14:20.354	10200		150.0
99	20:14:20.369	10350		150.0
