scan_time分析报告 - beisi_check_66Hz.txt
==================================================

基本统计信息:
  总数据包数: 1475
  有效scan_time数: 1475
  最大scan_time值: 19950
  最小scan_time值: 0
  scan_time范围: 19950

递增规律分析:
  理论递增值: 150
  实际平均递增值: 150.00
  递增值标准差: 0.00
  最小递增值: 150
  最大递增值: 150

重置分析:
  检测到重置次数: 11
  重置点位置: [134, 268, 402, 536, 670, 804, 938, 1072, 1206, 1340]...
  平均重置间隔: 122.9 包/次

一致性评估:
  一致性评分: 1.000 (1.0为完美一致)
  评估结果: 优秀 - scan_time递增非常稳定

详细数据:
序号	时间戳		scan_time	递增值
--------------------------------------------------
1	16:12:28.159	0		N/A
2	16:12:28.174	150		150.0
3	16:12:28.189	300		150.0
4	16:12:28.204	450		150.0
5	16:12:28.219	600		150.0
6	16:12:28.234	750		150.0
7	16:12:28.249	900		150.0
8	16:12:28.264	1050		150.0
9	16:12:28.279	1200		150.0
10	16:12:28.294	1350		150.0
11	16:12:28.309	1500		150.0
12	16:12:28.324	1650		150.0
13	16:12:28.339	1800		150.0
14	16:12:28.354	1950		150.0
15	16:12:28.369	2100		150.0
16	16:12:28.384	2250		150.0
17	16:12:28.398	2400		150.0
18	16:12:28.414	2550		150.0
19	16:12:28.429	2700		150.0
20	16:12:28.444	2850		150.0
21	16:12:28.459	3000		150.0
22	16:12:28.474	3150		150.0
23	16:12:28.489	3300		150.0
24	16:12:28.504	3450		150.0
25	16:12:28.519	3600		150.0
26	16:12:28.534	3750		150.0
27	16:12:28.549	3900		150.0
28	16:12:28.564	4050		150.0
29	16:12:28.579	4200		150.0
30	16:12:28.594	4350		150.0
31	16:12:28.609	4500		150.0
32	16:12:28.624	4650		150.0
33	16:12:28.639	4800		150.0
34	16:12:28.654	4950		150.0
35	16:12:28.669	5100		150.0
36	16:12:28.684	5250		150.0
37	16:12:28.699	5400		150.0
38	16:12:28.714	5550		150.0
39	16:12:28.729	5700		150.0
40	16:12:28.744	5850		150.0
41	16:12:28.759	6000		150.0
42	16:12:28.774	6150		150.0
43	16:12:28.789	6300		150.0
44	16:12:28.804	6450		150.0
45	16:12:28.819	6600		150.0
46	16:12:28.834	6750		150.0
47	16:12:28.849	6900		150.0
48	16:12:28.864	7050		150.0
49	16:12:28.879	7200		150.0
50	16:12:28.894	7350		150.0
51	16:12:28.909	7500		150.0
52	16:12:28.924	7650		150.0
53	16:12:28.939	7800		150.0
54	16:12:28.954	7950		150.0
55	16:12:28.969	8100		150.0
56	16:12:28.984	8250		150.0
57	16:12:28.999	8400		150.0
58	16:12:29.014	8550		150.0
59	16:12:29.029	8700		150.0
60	16:12:29.044	8850		150.0
61	16:12:29.059	9000		150.0
62	16:12:29.074	9150		150.0
63	16:12:29.089	9300		150.0
64	16:12:29.119	9450		150.0
65	16:12:29.134	9600		150.0
66	16:12:29.149	9750		150.0
67	16:12:29.164	9900		150.0
68	16:12:29.179	10050		150.0
69	16:12:29.194	10200		150.0
70	16:12:29.209	10350		150.0
71	16:12:29.224	10500		150.0
72	16:12:29.239	10650		150.0
73	16:12:29.254	10800		150.0
74	16:12:29.269	10950		150.0
75	16:12:29.284	11100		150.0
76	16:12:29.299	11250		150.0
77	16:12:29.314	11400		150.0
78	16:12:29.329	11550		150.0
79	16:12:29.344	11700		150.0
80	16:12:29.359	11850		150.0
81	16:12:29.374	12000		150.0
82	16:12:29.389	12150		150.0
83	16:12:29.404	12300		150.0
84	16:12:29.419	12450		150.0
85	16:12:29.434	12600		150.0
86	16:12:29.449	12750		150.0
87	16:12:29.464	12900		150.0
88	16:12:29.479	13050		150.0
89	16:12:29.494	13200		150.0
90	16:12:29.509	13350		150.0
91	16:12:29.524	13500		150.0
92	16:12:29.539	13650		150.0
93	16:12:29.554	13800		150.0
94	16:12:29.568	13950		150.0
95	16:12:29.583	14100		150.0
96	16:12:29.598	14250		150.0
97	16:12:29.614	14400		150.0
98	16:12:29.629	14550		150.0
99	16:12:29.644	14700		150.0
100	16:12:29.659	14850		150.0
101	16:12:29.674	15000		150.0
102	16:12:29.689	15150		150.0
103	16:12:29.704	15300		150.0
104	16:12:29.719	15450		150.0
105	16:12:29.734	15600		150.0
106	16:12:29.749	15750		150.0
107	16:12:29.764	15900		150.0
108	16:12:29.779	16050		150.0
109	16:12:29.794	16200		150.0
110	16:12:29.809	16350		150.0
111	16:12:29.824	16500		150.0
112	16:12:29.839	16650		150.0
113	16:12:29.854	16800		150.0
114	16:12:29.869	16950		150.0
115	16:12:29.883	17100		150.0
116	16:12:29.898	17250		150.0
