average_refresh_rate_hz,min_refresh_interval_ms,max_refresh_interval_ms,refresh_interval_std_ms,packet_loss_count,packet_loss_rate,packet_loss_threshold_ms,avg_processing_delay_ms,max_processing_delay_ms,velocity_variation_coeff,acceleration_std,angle_variation_rad,total_data_points,cleaned_data_points,total_duration_ms,file_name
58.54737751,16,34,2.672123093,0,0,42.5,17.88018433,20,0.573698482,0.023304063,0.083611874,1085,1085,18532,20250807_01105_1
58.81076389,16,34,2.463883683,0,0,42.5,17.25645756,21,0.564970641,0.02313367,0.08210537,1084,1084,18432,20250807_01105_2
57.83824805,16,50,3.404872342,2,0.001876173,42.5,17.26710403,20,0.584351539,0.023653646,0.081493193,1067,1067,18448,20250807_01105_3
58.81716942,16,34,2.472417834,0,0,42.5,17.28952206,20,0.540413641,0.021819344,0.081413316,1088,1088,18498,20250807_01105_4
59.84064177,16,33,1.088684395,0,0,42.5,17.2490942,25,0.558932091,0.022655755,0.083998591,1104,1104,18449,20250807_01105_5
57.7338518,16,50,3.394014847,1,0.00093633,42.5,18.76613658,22,0.584502259,0.023776392,0.079778089,1069,1069,18516,20250807_04122_1
55.25249797,16,67,5.330114555,9,0.008806262,42.5,17.29814272,20,0.660025428,0.026790945,0.086811654,1023,1023,18515,20250807_04122_2
58.87118553,16,34,2.40942371,0,0,42.5,17.3266055,20,0.563734585,0.023192299,0.083190277,1090,1090,18515,20250807_04122_3
57.73796676,16,50,3.471444085,2,0.001870907,42.5,17.32429907,21,0.602464789,0.024278216,0.081760901,1070,1070,18532,20250807_04122_4
55.90631914,16,50,4.626486489,4,0.003864734,42.5,17.28281853,20,0.615374514,0.025308625,0.08387843,1036,1036,18531,20250807_04122_5
57.89017654,16,50,3.300780002,1,0.00093633,42.5,18.55285313,22,0.580121511,0.02405535,0.084078784,1069,1069,18466,20250807_09119_1
56.21685965,16,67,4.541257008,3,0.002890173,42.5,17.22714148,20,0.611138555,0.025854436,0.081984444,1039,1039,18482,20250807_09119_2
57.18467126,16,50,3.820632693,2,0.001897533,42.5,17.60758294,19,0.617797614,0.02519148,0.087151069,1055,1055,18449,20250807_09119_3
57.62142238,16,50,3.48386471,1,0.00094162,42.5,17.58795861,19,0.596764431,0.024518311,0.082455682,1063,1063,18448,20250807_09119_4
57.34007283,16,50,3.907795499,5,0.004743833,42.5,17.26824645,19,0.594767143,0.023953629,0.082439214,1055,1055,18399,20250807_09119_5
57.22033898,8,58,5.525390824,1,0.00118624,42.5,12.37085308,21,0.696762752,0.039114162,0.099530667,844,844,14750,20250813_base_1
50.14608956,8,67,8.797609937,12,0.016282225,42.5,12.38482385,18,0.664833574,0.033552928,0.091578458,738,738,14717,20250813_base_3
62.80651796,0,1217,43.15471641,6,0.007566204,40,13.14987406,42,1.102649488,,0.208067183,794,794,12642,20250813_base_4
57.52078935,8,42,5.100021675,0,0,42.5,12.31910112,18,0.33136074,0.013865072,0.101442764,1335,1335,23209,20250814_903-13_1
57.30312837,8,58,5.104488453,1,0.00075358,42.5,12.27259036,18,0.347698847,0.013867875,0.099681232,1328,1328,23175,20250814_903-13_2
54.66862271,7.999999999,59,6.561598205,8,0.006319115,42.5,12.45540647,19,0.436372931,0.014885397,0.098469182,1267,1267,23176,20250814_903-13_3
53.85583474,8,58,6.408754368,2,0.001612903,42.5,12.33199033,18,0.455223331,0.015384985,0.098787888,1241,1241,23043,20250814_903-13_4
56.34958332,8,58,5.613843428,3,0.002300613,42.5,12.22605364,20,0.360627267,0.013528651,0.101870448,1305,1305,23159,20250814_903-13_5
56.31421511,8,42,5.591034148,0,0,42.5,12.84603541,21,0.390022985,0.01551153,0.099714044,1299,1299,23067,20250814_903-13_6
